CH,avg,sd,ENOB
1,0.0004,0.0221,5.5
1,-0.0008,0.0219,5.5
1,-0.0008,0.0220,5.5
1,-0.0010,0.0183,5.8
1,-0.0002,0.0180,5.8
1,-0.0007,0.0176,5.8
1,-0.0005,0.0210,5.6
1,-0.0054,0.0218,5.5
1,-0.0050,0.0186,5.7
1,-0.0050,0.0168,5.9
2,-0.1074,0.0220,5.5
2,-0.1078,0.0222,5.5
2,-0.1083,0.0219,5.5
2,-0.1078,0.0224,5.5
2,-0.1078,0.0241,5.4
2,-0.1074,0.0223,5.5
2,-0.1079,0.0239,5.4
2,-0.1137,0.0229,5.5
2,-0.1134,0.0217,5.5
2,-0.1131,0.0226,5.5
3,-0.1178,0.0245,5.4
3,-0.1184,0.0252,5.3
3,-0.1184,0.0252,5.3
3,-0.1183,0.0223,5.5
3,-0.1181,0.0249,5.3
3,-0.1182,0.0252,5.3
3,-0.1184,0.0230,5.4
3,-0.1245,0.0229,5.4
3,-0.1242,0.0238,5.4
3,-0.1244,0.0254,5.3
4,-0.1182,0.0215,5.5
4,-0.1188,0.0216,5.5
4,-0.1188,0.0229,5.4
4,-0.1184,0.0232,5.4
4,-0.1187,0.0196,5.7
4,-0.1190,0.0195,5.7
4,-0.1189,0.0249,5.3
4,-0.1247,0.0263,5.2
4,-0.1243,0.0251,5.3
4,-0.1246,0.0223,5.5
